,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,Calvin,6,0,9973,9167.51955,0.0,3250.0,4431.0,7091.0,10487.0
1,AriaFB,6,0,9973,10786.09325,1796.4826000000012,7192.0,8103.5,10590.0,14238.0
2,Aria,6,0,9973,10337.262200000001,1749.616149999998,7526.5,8565.0,10745.5,13616.0
3,Sparkle,6,0,9973,10488.6203,176.1180000000004,531.0,601.5,1160.5,1206.5
4,Serial,6,0,9973,3633.5,0.0,406.5,429.5,664.0,1144.5
5,Spectrum,6,0,9973,9793.95895,127.65454999999929,586.0,660.5,1232.0,1264.0
6,Calvin,12,0,9973,10535.8351,0.0,2173.5,2998.5,5200.0,9788.0
7,AriaFB,12,0,9973,14715.07975,2446.2006500000025,5182.5,5941.0,7388.5,9710.5
8,Aria,12,0,9973,14926.4319,2450.2264499999983,5161.5,5866.0,7298.0,9705.0
9,Sparkle,12,0,9973,17340.48925,574.1388000000006,551.0,1066.0,1167.5,1324.0
10,Serial,12,0,9973,3639.3401,0.0,409.0,426.0,690.0,1144.0
11,Spectrum,12,0,9973,16307.11375,387.01674999999886,622.0,1169.5,1245.5,1371.0
12,Calvin,18,0,9973,10620.40015,0.0,1682.5,2397.0,4233.0,8619.5
13,AriaFB,18,0,9973,17614.643900000003,2781.821799999998,4034.5,4643.5,5935.5,8783.5
14,Aria,18,0,9973,16784.55745,2699.2610999999997,4258.0,4949.5,6342.0,8415.5
15,Sparkle,18,0,9973,22888.4174,1180.2296500000011,738.0,1144.0,1196.0,1636.0
16,Serial,18,0,9973,3695.5,0.0,403.5,425.5,472.5,1143.0
17,Spectrum,18,0,9973,22261.51895,798.1569999999992,694.5,1208.0,1246.5,1481.0
18,Calvin,24,0,9973,10578.45245,0.0,1583.5,2258.0,3900.0,7899.5
19,AriaFB,24,0,9973,20279.590750000003,3388.423549999996,3791.5,4363.5,5451.0,6566.0
20,Aria,24,0,9973,19817.99465,3263.221749999997,3887.5,4478.5,5738.5,6863.0
21,Sparkle,24,0,9973,28507.23195,1867.0822499999995,898.0,1147.5,1180.0,1497.0
22,Serial,24,0,9973,3785.25,0.0,401.0,421.5,449.5,1142.5
23,Spectrum,24,0,9973,27717.3623,1257.2232000000004,845.5,1219.0,1249.0,1361.0
24,Calvin,30,0,9973,9613.624,0.0,1575.5,2141.0,3801.5,10524.5
25,AriaFB,30,0,9973,20525.09225,3223.0769,3500.0,4105.0,4985.0,5778.5
26,Aria,30,0,9973,20622.970999999998,3238.7959000000046,3513.5,4024.5,5042.0,6071.0
27,Sparkle,30,0,9973,33381.694950000005,2687.6003999999957,986.5,1153.5,1244.0,1684.0
28,Serial,30,0,9973,3739.80985,0.0,396.5,421.5,473.0,1143.5
29,Spectrum,30,0,9973,32990.0601,1807.118849999999,917.0,1221.5,1253.5,1276.0
30,Calvin,36,0,9973,8827.41475,0.0,1333.0,1775.5,3210.5,8085.0
31,AriaFB,36,0,9973,18858.254849999998,2511.267350000002,3021.5,3564.5,4413.5,5050.0
32,Aria,36,0,9973,18563.8743,2447.9272999999994,3041.5,3583.0,4591.0,5388.5
33,Sparkle,36,0,9973,38232.55235,3495.5134499999986,1064.5,1159.0,1315.0,1955.0
34,Serial,36,0,9973,3730.8961,0.0,402.5,423.5,460.5,1145.0
35,Spectrum,36,0,9973,38176.38265,2331.0912000000026,997.0,1224.5,1256.0,1400.5
