,protocol,threads,zipf,table_partition,commit,abort,operation,memory,latency_50,latency_75,latency_95,latency_99
0,SpectrumSTRAWMAN,36,0.9,9973,267938.69269999996,102853.50379000003,322289827.0453,61118076053.84863,117.0,138.2,192.3,269.3
1,SpectrumCOPYONWRITE,36,0.9,9973,375385.33718000003,142276.00678999996,452990059.01534,84581716742.91995,80.1,93.7,132.5,256.0
